type,name,name_en,iata,lat,lon,osm_id
Airport,成都天府国际机场,Chengdu Tianfu International Airport,TFU,30.3035491,104.4577774,way/529454532
Airport,三沙永兴机场,Sansha Yongxing Airport,XYI,16.833801,112.3447135,way/530882481
Airport,秦皇岛北戴河国际机场,Qinhuangdao Beidaihe International Airport,BPE,39.6648711,119.0641855,way/531477950
Airport,巴中恩阳机场,Bazhong Enyang Airport,BZX,31.7379758,106.6430262,way/532362213
Airport,怀化芷江机场,Huaihua Zhijiang Airport,HJJ,27.4464507,109.7070199,way/534501250
Airport,十堰武当山机场,Shiyan Wudangshan Airport,WDS,32.5926378,110.908223,way/539199354
Airport,无锡硕放机场,Wuxi Shuofang Airport,WUX,31.4987509,120.4303868,way/548182726
Airport,赣州黄金机场,Ganzhou Huangjin Airport,KOW,25.8537417,114.7795079,way/587805814
Airport,新巴尔虎右旗宝格德机场,Xinbarag Youqi Baogede,XRQ,48.5754994,116.9393885,way/591642085
Airport,宁波栎社国际机场,Ningbo Lishe International Airport,NGB,29.8261804,121.4620568,way/592924334
Airport,厦门高崎国际机场,Xiamen Gaoqi International Airport,XMN,24.5438468,118.1296792,way/598997467
Airport,重庆巫山机场,Chongqing Wushan Airport,WSK,31.0678792,109.7074162,way/601077202
Airport,郴州北湖机场,Chenzhou Beihu Airport,HCZ,25.7536262,112.8453497,way/616265819
Airport,襄阳刘集机场,Xiangyang Liuji Airport,XFN,32.1513481,112.2895889,way/620906592
Airport,梧州西江机场,Wuzhou Xijiang Airport,WUZ,23.4032666,111.0987339,way/631207886
Airport,鸡西兴凯湖机场,Jixi Xingkaihu Airport,JXA,45.295085,131.1908514,way/631423435
Airport,若羌楼兰机场 چاقىلىق كروران ئايرودرومى,Ruoqiang Loulan Airport,RQA,38.9737892,88.0074485,way/637854017
Airport,海西茫崖机场,Haixi Mangya Airport,HTT,38.1983543,90.8410669,way/637881615
Airport,吕梁大武机场,Lüliang Airport,LLV,37.6839824,111.1423985,way/646168239
Airport,太原尧城机场,Taiyuan Yaocheng Airport,TYC,37.5036081,112.4230889,way/646168723
Airport,营口兰旗机场,Yingkou Lanqi Airport,YKH,40.5441957,122.3590942,way/652953007
Airport,丹东浪头机场,Dandong Langtou Airport,DDG,40.026874,124.2813329,way/654464171
Airport,果洛玛沁机场,Golog Maqin Airport,GMQ,34.418674,100.3005892,way/664030643
Airport,锦州湾机场,Jinzhou Airport,JNZ,40.9361514,121.2771269,way/677342458
Airport,宁蒗泸沽湖机场,Ninglang Luguhu Airport,NLH,27.5406092,100.7588788,way/689456900
Airport,富蕴可可托海机场 كوكتوعاي اۋەجايى,Fuyun Airport,FYN,46.8038693,89.5133372,way/692798794
Airport,镇江大路通用机场,Zhenjiang Dalu Airport,AZJ,32.2349931,119.7180844,way/700384446
Airport,济宁大安机场,Jining Da´an Airport,JNG,35.645818,116.743396,way/706664294
Airport,延安南泥湾机场,Yan'an Nanniwan Airport,ENY,36.4798337,109.4648215,way/712010433
Airport,鞍山腾鳌机场,Anshan Teng'ao Airport,AOG,41.1056401,122.8551316,way/720572272
Airport,沧源佤山机场,Cangyuan Washan Airport,CWJ,23.2754683,99.3734203,way/733941101
Airport,石河子花园机场,Shihezi Huayuan Airport,SHF,44.2434233,85.8909766,way/754713695
Airport,松原查干湖机场,Songyuan Chaganhu Airport,YSQ,44.9287929,124.5499842,way/759559387
Airport,玉林福绵机场,Yulin Fumian Airport,YLX,22.4329871,110.1209335,way/761265053
Airport,澜沧景迈机场,Lancang Jingmai Airport,JMJ,22.4169532,99.7842921,way/761453398
Airport,扎兰屯成吉思汗机场,Jalan Genghis Khan Airport,NZL,47.8645389,122.7682417,way/772263727
Airport,邯郸机场,Handan Airport,HDG,36.5247178,114.4238734,way/772790523
Airport,霍林郭勒霍林河机场,Holingol Huolinhe Airport,HUO,45.4865702,119.4087543,way/779440494
Airport,张家界荷花国际机场,Zhangjiajie Hehua International Airport,DYG,29.1031088,110.4435037,way/787987141
Airport,湛江吴川国际机场,Zhanjiang Wuchuan International Airport,ZHA,21.483083,110.59204,way/794278540
Airport,达州金垭机场,Dazhou Jinya Airport,DZH,31.0493873,107.4357762,way/795301574
Airport,安阳红旗渠机场,Anyang Hongqiqu Airport,HQQ,35.8689362,114.4655781,way/808480677
Airport,成都淮州机场,Chengdu Huaizhou Airport,HZU,30.6777414,104.5283438,way/825450985
Airport,台州路桥机场,Taizhou Luqiao Airport,HYN,28.562449,121.4279375,way/833526351
Airport,陇川广宋通用机场,Longchuan Guangsong General Airport,LCS,24.2667438,97.9049737,way/838363850
Airport,绵阳南郊机场,Mianyang Nanjiao Airport,MIG,31.4310916,104.7387365,way/840437374
Airport,图木舒克唐王城机场,Tumxuk Tangwangcheng Airport,TWC,39.8897044,79.2354116,way/851596366
Airport,于田万方机场 كېرىيە ئايرودرومى,Yutian Wanfang Airport,YTW,36.8093854,81.7859023,way/854882022
Airport,南昌瑶湖机场,Nanchang Yaohu Airport,YHJ,28.7028809,116.1076436,way/870855323
Airport,连云港花果山国际机场,Lianyungang Huaguoshan Airport,LYG,34.413025,119.1784771,way/874071145
Airport,安康富强机场,Ankang Fuqiang Airport,AKA,32.7555162,108.873375,way/890935944
Airport,五大连池德都机场,Wudalianchi Dedu Airport,DTU,48.4424325,126.1321143,way/909914014
Airport,日喀则定日机场,Shigatse Tingri Airport,DDR,28.6033832,86.7976647,way/912318511
Airport,甘孜康定机场,Kangding Airport,KGT,30.1430251,101.7387331,way/955167288
Airport,德清莫干山通用机场,Deqing Moganshan Airport,DEQ,30.5026577,120.1073994,way/958849988
Airport,乌海机场,Wuhai Regional Airport,WUA,39.7932711,106.8010268,way/970340742
Airport,阿里普兰机场,A'li Pulan Airport,APJ,30.398856,81.1331904,way/970443901
Airport,塔什库尔干红其拉甫机场 تاشقۇرغان ئايرودرومى,Taxkorgan Airport,HQL,37.6613224,75.2888313,way/977746844
Airport,张家口宁远机场,Zhangjiakou Ningyuan Airport,ZQZ,40.7382198,114.9362294,way/978039135
Airport,绥芬河东宁机场,Suifenhe Dongning Airport,HSF,44.453633,130.8452253,way/984792748
Airport,鄂州花湖国际机场,Ezhou Huahu International Airport,EHU,30.3408957,115.0396929,way/984793860
Airport,重庆仙女山机场,Chongqing Xiannüshan Airport,CQW,29.4651025,107.694711,way/997094457
Airport,赣州瑞金机场,Ganzhou Ruijin Airport,JRJ,25.9600229,116.077139,way/1000092380
Airport,海北祁连机场,Haibei Qilian Airport,HBQ,38.0093846,100.6415645,way/1002204206
Airport,蚌埠滕湖机场,Bengbu Tenghu Airport,BFY,33.1659757,117.0575447,way/1012656357
Airport,肇东北大荒通用机场,Zhaodong Beidahuang General Airport,HLJ,46.1300308,125.775677,way/1014501879
Airport,亳州机场,Bozhou Airport,BZJ,33.561385,115.9074381,way/1019456470
Airport,山南隆子机场,Shannan Lhuntse,LGZ,28.423304,92.3479263,way/1033468090
Airport,阿拉尔塔里木机场,Aral Talim Airport,ACF,40.433067,81.2587393,way/1060129505
Airport,荆州沙市机场,Jingzhou Shashi Airport,SHS,30.290608,112.4466799,way/1066229645
Airport,兰州中川国际机场,Lanzhou Zhongchuan Int'l Airport,LHW,36.5190294,103.6321138,way/1077786411
Airport,郑州新郑国际机场,Zhengzhou Xinzheng Int'l Airport,CGO,34.5271183,113.8509996,way/1083966585
Airport,昭苏天马机场 موڭعولكۇرە اۋەجايى,Zhaosu Tianma Airport,ZFL,43.0885613,81.2230134,way/1094260467
Airport,屯留沙家庄机场,,A68,36.2803628,112.9093143,way/1182860689
Airport,邵阳武冈机场,Shaoyang Wugang Airport,WGN,26.8062665,110.6405384,way/1185212590
Airport,湘西边城机场,Xiangxi Biancheng Airport,DXJ,28.495068,109.5196993,way/1197981329
Airport,呼玛鹿鼎山机场,Huma Ludingshan Airport,HMX,51.5697261,126.5124703,way/1205919558
Airport,永川大安通用机场,Yongchuan Da'an General Airport,YGA,29.3567478,106.009486,way/1271512897
Airport,和静巴音布鲁克机场,Hejing Bayinbuluke Airport,HJB,42.9760847,83.9927333,way/1282675813
Airport,奇台江布拉克机场,Qitai Jiangbulake Airport,JBK,44.164891,89.5520833,way/1283290242
Airport,丽水莲都机场,Lishui Liandu Airport,LIJ,28.3709397,119.8355756,way/1349526413
Airport,东阳横店通用机场,Dongyang General Airport,HEW,29.1230812,120.2436709,way/1375640528
Airport,西安咸阳国际机场,Xi'an Xianyang International Airport(XIY),XIY,34.4423416,108.7601227,way/1377770481
Airport,崇州豪芸通用机场,,A37,30.6582304,103.6477493,way/1467098090
Airport,铜仁德江机场,Tongren Dejiang Airport,DEJ,28.13476,108.1644436,way/1490839647
Airport,南京禄口国际机场,Nanjing Lukou International Airport,NKG,31.7318524,118.863455,relation/1903184
Airport,澳門國際機場 Aeroporto Internacional de Macau,Macau International Airport,MFM,22.1498791,113.5840388,relation/2589459
Airport,巴彦淖尔天吉泰机场,Bayannur Tianjitai Airport,RLK,40.9256163,107.7455308,relation/3552457
Airport,福州长乐国际机场,Fuzhou Changle International Airport,FOC,25.9331448,119.6725392,relation/6590167
Airport,温州龙湾国际机场,Wenzhou Longwan International Airport,WNZ,27.9087027,120.85019,relation/9056579
Airport,北京大兴国际机场,Beijing Daxing International Airport,PKX,39.4972686,116.4313575,relation/9260711
Airport,成都双流国际机场,Chengdu Shuangliu International Airport,CTU,30.5546804,103.9463289,relation/9484398
Airport,海口美兰国际机场,Haikou Meilan International Airport,HAK,19.944273,110.4625001,relation/10106018
Airport,莎车叶尔羌机场 يەكەن ئايرودرومى,Shache Airport,QSZ,38.2433111,77.0578634,relation/10356893
Airport,敦煌莫高国际机场,Dunhuang Mogao International Airport,DNH,40.1634504,94.8125888,relation/10357707
Airport,二连浩特赛乌苏国际机场,Erenhot Saiwusu International Airport,ERL,43.4236159,112.0932443,relation/10861264
Airport,贵阳龙洞堡国际机场,Guiyang Longdongbao International Airport,KWE,26.5411039,106.8024027,relation/11736182
Airport,阜阳机场,Fuyang Xiguan Airport,FUG,32.8818614,115.7337763,relation/12911761
Airport,庆阳机场,Qingyang Airport,IQN,35.8019092,107.6000494,relation/13052400
Airport,满洲里西郊国际机场,Manzhouli Xijiao Airport,NZH,49.5672223,117.3265979,relation/13061833
